lookup_key,company_name,activities,expiry_date,status,source
UNIVERSAL GURKHA SECURITY SERVICES LIMITED,Universal Gurkha Security Services Limited,"SG, KH",30-Apr-27,approved,sia_acs_register_html
UNIVERSAL SECURITY GUARDS (GB) LTD,Universal Security Guards (GB) Ltd,SG,30-Apr-28,approved,sia_acs_register_html
UNIVERSAL SUPPORT SERVICE GROUP (USSG) LTD,Universal Support Service Group (USSG) Ltd,"SG, KH",30-Sep-27,approved,sia_acs_register_html
UWS SECURITY LIMITED,UWS Security Limited,SG,30-Apr-29,approved,sia_acs_register_html
V-GUARD LTD,V-Guard Ltd,SG,31-Dec-28,approved,sia_acs_register_html
VECTIS GROUP SECURITY LTD,Vectis Group Security Ltd,"SG, KH",30-Jun-28,approved,sia_acs_register_html
VENTURE SECURITY MANAGEMENT LIMITED,Venture Security Management Limited,"DS, SG, KH",31-Aug-27,approved,sia_acs_register_html
VERITECH SYSTEMS LIMITED T/A VERITECH SECURITY,Veritech Systems Limited t/a Veritech Security,"CCTV, KH, SG",31-Jul-27,approved,sia_acs_register_html
VESPASIAN SECURITY LIMITED,Vespasian Security Limited,"DS, SG",31-Jul-29,approved,sia_acs_register_html
VIGILANCE PROPERTIES LIMITED,Vigilance Properties Limited,"SG, KH",31-Aug-26,approved,sia_acs_register_html
VIGILANT BUSINESS SOLUTIONS LTD,Vigilant Business Solutions Ltd,SG,31-Oct-28,approved,sia_acs_register_html
VIGILANT FACILITIES LIMITED,Vigilant Facilities Limited,SG,30-Nov-28,approved,sia_acs_register_html
VIGILANT PROTECT UK LIMITED,Vigilant Protect UK Limited,"SG, KH, DS, CCTV",28-Feb-28,approved,sia_acs_register_html
VIGILANT SECURITY SERVICES UK LIMITED,Vigilant Security Services UK Limited,"SG, KH, DS",30-Apr-29,approved,sia_acs_register_html
VIGILO SOLUTIONS LIMITED,Vigilo Solutions Limited,SG,31-May-28,approved,sia_acs_register_html
VINCI CONSTRUCTION UK LTD T/A VINCI FACILITIES,Vinci Construction UK Ltd t/a Vinci Facilities,SG,30-Apr-28,approved,sia_acs_register_html
VIP SECURITY (ESSEX) LTD,VIP Security (Essex) Ltd,"SG, KH",30-Sep-27,approved,sia_acs_register_html
VIRPIO LTD,Virpio Ltd,SG,30-Jun-27,approved,sia_acs_register_html
VIS SYSTEMS LIMITED,VIS Systems Limited,SG,31-Oct-26,approved,sia_acs_register_html
VISTECH SERVICES LIMITED,Vistech Services Limited,"SG, KH, CCTV",30-Jun-28,approved,sia_acs_register_html
VPS SITE SECURITY LIMITED,VPS Site Security Limited,"SG, KH, CCTV",31-May-27,approved,sia_acs_register_html
WARD SECURITY LIMITED,Ward Security Limited,"SG, KH, CCTV",31-Jan-28,approved,sia_acs_register_html
WARLITE SECURITY LIMITED,Warlite Security Limited,"SG, KH",30-Apr-28,approved,sia_acs_register_html
WATCH IT SECURITY SERVICES LIMITED,Watch It Security Services Limited,"SG, KH",29-Feb-28,approved,sia_acs_register_html
WE SECURE LIMITED,We Secure Limited,SG,30-Jun-27,approved,sia_acs_register_html
W4G FIRE & SECURITY LTD,W4G Fire & Security Ltd,SG,31-May-27,approved,sia_acs_register_html
WEST CLUB (PICCADILLY) LIMITED,West Club (Piccadilly) Limited,"DS, SG",31-Mar-28,approved,sia_acs_register_html
WESTGROVE SUPPORT SERVICES LIMITED,Westgrove Support Services Limited,"SG, CCTV",30-Jun-27,approved,sia_acs_register_html
WESTMID SERVICES GROUP LTD,Westmid Services Group Ltd,SG,31-Jan-28,approved,sia_acs_register_html
WESTON FM GROUP LTD,Weston FM Group Ltd,SG,30-Sep-26,approved,sia_acs_register_html
WILLSECURE LIMITED,WillSecure Limited,SG,31-Jul-28,approved,sia_acs_register_html
WILLS SECURITY SERVICES LIMITED,Wills Security Services Limited,"SG, KH",31-Aug-29,approved,sia_acs_register_html
WILSON JAMES LIMITED,Wilson James Limited,"SG, DS, KH",31-Mar-27,approved,sia_acs_register_html
WINNS SECURITY SERVICES LIMITED,Winns Security Services Limited,SG,31-Oct-26,approved,sia_acs_register_html
WIRELESS CCTV LIMITED,Wireless CCTV Limited,CCTV,31-Dec-27,approved,sia_acs_register_html
WISE K9 LTD,Wise K9 Ltd,SG,02-Jan-27,approved,sia_acs_register_html
WISE SECURITY SERVICES LIMITED,Wise Security Services Limited,"DS, SG",31-Mar-28,approved,sia_acs_register_html
WOODWILL LIMITED,Woodwill Limited,"SG, KH",31-Aug-28,approved,sia_acs_register_html
WYE SECURITY SOLUTIONS LTD,Wye Security Solutions Ltd,"SG, KH",31-Jul-28,approved,sia_acs_register_html
YA LATIFO INTERNATIONAL LTD T/A PEARL SECURITY SERVICES,Ya Latifo International Ltd t/a Pearl security Services,SG,30-Jun-27,approved,sia_acs_register_html
ZAM FM LTD,ZAM FM Ltd,SG,31-May-27,approved,sia_acs_register_html
ZAM SECURE LIMITED,ZAM Secure Limited,"SG, KH",30-Apr-27,approved,sia_acs_register_html
ZE GLOBAL LTD,ZE Global Ltd,"SG, CCTV",30-Nov-27,approved,sia_acs_register_html
ZONE CONTRACTORS LIMITED,Zone Contractors Limited,SG,30-Sep-26,approved,sia_acs_register_html
